,Unnamed: 0,user_id,item_id,rating,time,title,type_0,type_1,type_2
0,0,user_id,item_id,rating,time,name,type, , 
1,1,2,1357,5,978298709,Shine (1996),Drama, , 
2,2,2,3068,4,978299000,Verdict The (1982),Drama, , 
3,3,2,1537,4,978299620,Shall We Dance? (Shall We Dansu?) (1996),Comedy, , 
4,4,2,647,3,978299351,Courage Under Fire (1996),Drama, , 
5,5,2,2194,4,978299297,Untouchables The (1987),Action, , 
6,6,2,648,4,978299913,Mission: Impossible (1996),Action, , 
7,7,2,2268,5,978299297,Few Good Men A (1992),Crime, , 
8,8,2,2628,3,978300051,Star Wars: Episode I - The Phantom Menace (1999),Action, , 
9,9,2,1103,3,978298905,Rebel Without a Cause (1955),Drama, , 
10,10,2,2916,3,978299809,Total Recall (1990),Action, , 
11,11,2,3468,5,978298542,Hustler The (1961),Drama, , 
12,12,2,1210,4,978298151,Star Wars: Episode VI - Return of the Jedi (1983),Action, , 
13,13,2,1792,3,978299941,U.S. Marshalls (1998),Action, , 
14,14,2,1687,3,978300174,Jackal The (1997),Action, , 
15,15,2,1213,2,978298458,GoodFellas (1990),Crime, , 
16,16,2,3578,5,978298958,Gladiator (2000),Action, , 
17,17,2,2881,3,978300002,Double Jeopardy (1999),Action, , 
18,18,2,3030,4,978298434,Yojimbo (1961),Comedy, , 
19,19,2,1217,3,978298151,Ran (1985),Drama, , 
20,20,2,3105,4,978298673,Awakenings (1990),Drama, , 
21,21,2,434,2,978300174,Cliffhanger (1993),Action, , 
22,22,2,2126,3,978300123,Snake Eyes (1998),Action, , 
23,23,2,3107,2,978300002,Backdraft (1991),Action, , 
24,24,2,3108,3,978299712,Fisher King The (1991),Comedy, , 
25,25,2,3035,4,978298625,Mister Roberts (1955),Comedy, , 
26,26,2,1253,3,978299120,Day the Earth Stood Still The (1951),Drama, , 
27,27,2,1610,5,978299809,Hunt for Red October The (1990),Action, , 
28,28,2,292,3,978300123,Outbreak (1995),Action, , 
29,29,2,2236,5,978299220,Simon Birch (1998),Drama, , 
30,30,2,3071,4,978299120,Stand and Deliver (1987),Drama, , 
31,31,2,902,2,978298905,Breakfast at Tiffany's (1961),Drama, , 
32,32,2,368,4,978300002,Maverick (1994),Action, , 
33,33,2,1259,5,978298841,Stand by Me (1986),Adventure, , 
34,34,2,3147,5,978298652,Green Mile The (1999),Drama, , 
35,35,2,1544,4,978300174,Lost World: Jurassic Park The (1997),Action, , 
36,36,2,1293,5,978298261,Gandhi (1982),Drama, , 
37,37,2,1188,4,978299620,Strictly Ballroom (1992),Comedy, , 
38,38,2,3255,4,978299321,League of Their Own A (1992),Comedy, , 
39,39,2,3256,2,978299839,Patriot Games (1992),Action, , 
40,40,2,3257,3,978300073,Bodyguard The (1992),Action, , 
41,41,2,110,5,978298625,Braveheart (1995),Action, , 
42,42,2,2278,3,978299889,Ronin (1998),Action, , 
43,43,2,2490,3,978299966,Payback (1999),Action, , 
44,44,2,1834,4,978298813,Spanish Prisoner The (1997),Drama, , 
45,45,2,3471,5,978298814,Close Encounters of the Third Kind (1977),Drama, , 
46,46,2,589,4,978299773,Terminator 2: Judgment Day (1991),Action, , 
47,47,2,1690,3,978300051,Alien: Resurrection (1997),Action, , 
48,48,2,3654,3,978298814,Guns of Navarone The (1961),Action, , 
49,49,2,2852,3,978298958,Soldier's Story A (1984),Drama, , 
50,50,2,1945,5,978298458,On the Waterfront (1954),Crime, , 
51,51,2,982,4,978299269,Picnic (1955),Drama, , 
52,52,2,1873,4,978298542,Mis¡§?rables Les (1998),Drama, , 
53,53,2,2858,4,978298434,American Beauty (1999),Comedy, , 
54,54,2,1225,5,978298391,Amadeus (1984),Drama, , 
55,55,2,2028,4,978299773,Saving Private Ryan (1998),Action, , 
56,56,2,515,5,978298542,Remains of the Day The (1993),Drama, , 
57,57,2,442,3,978300025,Demolition Man (1993),Action, , 
58,58,2,2312,3,978299046,Children of a Lesser God (1986),Drama, , 
59,59,2,265,4,978299026,Like Water for Chocolate (Como agua para chocolate) (1992),Drama, , 
60,60,2,1408,3,978299839,Last of the Mohicans The (1992),Action, , 
61,61,2,1084,3,978298813,Bonnie and Clyde (1967),Crime, , 
62,62,2,3699,2,978299173,Starman (1984),Adventure, , 
63,63,2,480,5,978299809,Jurassic Park (1993),Action, , 
64,64,2,1442,4,978299297,Prefontaine (1997),Drama, , 
65,65,2,2067,5,978298625,Doctor Zhivago (1965),Drama, , 
66,66,2,1265,3,978299712,Groundhog Day (1993),Comedy, , 
67,67,2,1370,5,978299889,Die Hard 2 (1990),Action, , 
68,68,2,1193,5,978298413,One Flew Over the Cuckoo's Nest (1975),Drama, , 
69,69,2,1801,3,978300002,Man in the Iron Mask The (1998),Action, , 
70,70,2,1372,3,978299941,Star Trek VI: The Undiscovered Country (1991),Action, , 
71,71,2,2353,4,978299861,Enemy of the State (1998),Action, , 
72,72,2,3334,4,978298958,Key Largo (1948),Crime, , 
73,73,2,2427,2,978299913,Thin Red Line The (1998),Action, , 
74,74,2,590,5,978299083,Dances with Wolves (1990),Adventure, , 
75,75,2,1196,5,978298730,Star Wars: Episode V - The Empire Strikes Back (1980),Action, , 
76,76,2,1552,3,978299941,Con Air (1997),Action, , 
77,77,2,736,4,978300100,Twister (1996),Action, , 
78,78,2,1198,4,978298124,Raiders of the Lost Ark (1981),Action, , 
79,79,2,593,5,978298517,Silence of the Lambs The (1991),Drama, , 
80,80,2,2359,3,978299666,Waking Ned Devine (1998),Comedy, , 
81,81,2,95,2,978300143,Broken Arrow (1996),Action, , 
82,82,2,2717,3,978298196,Ghostbusters II (1989),Comedy, , 
83,83,2,2571,4,978299773,Matrix The (1999),Action, , 
84,84,2,1917,3,978300174,Armageddon (1998),Action, , 
85,85,2,2396,4,978299641,Shakespeare in Love (1998),Comedy, , 
86,86,2,3735,3,978298814,Serpico (1973),Crime, , 
87,87,2,1953,4,978298775,French Connection The (1971),Action, , 
88,88,2,1597,3,978300025,Conspiracy Theory (1997),Action, , 
89,89,2,3809,3,978299712,What About Bob? (1991),Comedy, , 
90,90,2,1954,5,978298841,Rocky (1976),Action, , 
91,91,2,1955,4,978299200,Kramer Vs. Kramer (1979),Drama, , 
92,92,2,235,3,978299351,Ed Wood (1994),Comedy, , 
93,93,2,1124,5,978299418,On Golden Pond (1981),Drama, , 
94,94,2,1957,5,978298750,Chariots of Fire (1981),Drama, , 
95,95,2,163,4,978299809,Desperado (1995),Action, , 
96,96,2,21,1,978299839,Get Shorty (1995),Action, , 
97,97,2,165,3,978300002,Die Hard: With a Vengeance (1995),Action, , 
98,98,2,2321,3,978299666,Pleasantville (1998),Comedy, , 
99,99,2,1090,2,978298580,Platoon (1986),Drama, , 
100,100,2,380,5,978299809,True Lies (1994),Action, , 
101,101,2,2501,5,978298600,October Sky (1999),Drama, , 
102,102,2,349,4,978299839,Clear and Present Danger (1994),Action, , 
103,103,2,457,4,978299773,Fugitive The (1993),Action, , 
104,104,2,1096,4,978299386,Sophie's Choice (1982),Drama, , 
105,105,2,920,5,978298775,Gone with the Wind (1939),Drama, , 
106,106,2,459,3,978300002,Getaway The (1994),Action, , 
107,107,2,1527,4,978299839,Fifth Element The (1997),Action, , 
108,108,2,3418,4,978299809,Thelma & Louise (1991),Action, , 
109,109,2,1385,3,978299966,Under Siege (1992),Action, , 
110,110,2,3451,4,978298924,Guess Who's Coming to Dinner (1967),Comedy, , 
111,111,2,3095,4,978298517,Grapes of Wrath The (1940),Drama, , 
112,112,2,780,3,978299966,Independence Day (ID4) (1996),Action, , 
113,113,2,498,3,978299418,Mr. Jones (1993),Drama, , 
114,114,2,2728,3,978298881,Spartacus (1960),Drama, , 
115,115,2,2002,5,978300100,Lethal Weapon 3 (1992),Action, , 
116,116,2,1962,5,978298813,Driving Miss Daisy (1989),Drama, , 
117,117,2,1784,5,978298841,As Good As It Gets (1997),Comedy, , 
118,118,2,2943,4,978298372,Indochine (1992),Drama, , 
119,119,2,2006,3,978299861,Mask of Zorro The (1998),Action, , 
120,120,2,318,5,978298413,Shawshank Redemption The (1994),Drama, , 
121,121,2,1207,4,978298478,To Kill a Mockingbird (1962),Drama, , 
122,122,2,1968,2,978298881,Breakfast Club The (1985),Comedy, , 
123,123,2,3678,3,978299250,Man with the Golden Arm The (1955),Drama, , 
124,124,2,1244,3,978299143,Manhattan (1979),Comedy, , 
125,125,2,356,5,978299686,Forrest Gump (1994),Comedy, , 
126,126,2,1245,2,978299200,Miller's Crossing (1990),Drama, , 
127,127,2,1246,5,978299418,Dead Poets Society (1989),Drama, , 
128,128,2,3893,1,978299535,Nurse Betty (2000),Comedy, , 
129,129,2,1247,5,978298652,Graduate The (1967),Drama, , 
